ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	genename	description
BP	GO:0016126	sterol biosynthetic process	12/23	67/18870	1.85629004089561e-24	7.16527955785705e-22	4.5723354691534e-22	6309/1595/4597/3157/6721/2224/6307/3638/3156/6713/3422/1717	12	SC5D/CYP51A1/MVD/HMGCS1/SREBF2/FDPS/MSMO1/INSIG1/HMGCR/SQLE/IDI1/DHCR7	GO:sterol biosynthetic process
BP	GO:0006695	cholesterol biosynthetic process	11/23	60/18870	1.66885082648706e-22	2.14725473008002e-20	1.3702143627999e-20	6309/1595/4597/3157/6721/2224/6307/3638/3156/3422/1717	11	SC5D/CYP51A1/MVD/HMGCS1/SREBF2/FDPS/MSMO1/INSIG1/HMGCR/IDI1/DHCR7	GO:cholesterol biosynthetic process
BP	GO:1902653	secondary alcohol biosynthetic process	11/23	60/18870	1.66885082648706e-22	2.14725473008002e-20	1.3702143627999e-20	6309/1595/4597/3157/6721/2224/6307/3638/3156/3422/1717	11	SC5D/CYP51A1/MVD/HMGCS1/SREBF2/FDPS/MSMO1/INSIG1/HMGCR/IDI1/DHCR7	GO:secondary alcohol biosynthetic process
BP	GO:0008203	cholesterol metabolic process	12/23	140/18870	2.16860615643439e-20	2.09270494095919e-18	1.33540484369907e-18	6309/1595/4597/3157/6721/2224/6307/3638/3156/6713/3422/1717	12	SC5D/CYP51A1/MVD/HMGCS1/SREBF2/FDPS/MSMO1/INSIG1/HMGCR/SQLE/IDI1/DHCR7	GO:cholesterol metabolic process
BP	GO:1902652	secondary alcohol metabolic process	12/23	150/18870	5.10274268733265e-20	3.9393173546208e-18	2.51377218702282e-18	6309/1595/4597/3157/6721/2224/6307/3638/3156/6713/3422/1717	12	SC5D/CYP51A1/MVD/HMGCS1/SREBF2/FDPS/MSMO1/INSIG1/HMGCR/SQLE/IDI1/DHCR7	GO:secondary alcohol metabolic process
BP	GO:0016125	sterol metabolic process	12/23	154/18870	7.06715157107969e-20	4.5465341773946e-18	2.90125169760114e-18	6309/1595/4597/3157/6721/2224/6307/3638/3156/6713/3422/1717	12	SC5D/CYP51A1/MVD/HMGCS1/SREBF2/FDPS/MSMO1/INSIG1/HMGCR/SQLE/IDI1/DHCR7	GO:sterol metabolic process
BP	GO:0006694	steroid biosynthetic process	12/23	184/18870	6.3321546499284e-19	3.4917309926748e-17	2.22815667380939e-17	6309/1595/4597/3157/6721/2224/6307/3638/3156/6713/3422/1717	12	SC5D/CYP51A1/MVD/HMGCS1/SREBF2/FDPS/MSMO1/INSIG1/HMGCR/SQLE/IDI1/DHCR7	GO:steroid biosynthetic process
BP	GO:0046165	alcohol biosynthetic process	11/23	145/18870	4.68716758138503e-18	2.26155835801828e-16	1.44315422900539e-16	6309/1595/4597/3157/6721/2224/6307/3638/3156/3422/1717	11	SC5D/CYP51A1/MVD/HMGCS1/SREBF2/FDPS/MSMO1/INSIG1/HMGCR/IDI1/DHCR7	GO:alcohol biosynthetic process
BP	GO:1901617	organic hydroxy compound biosynthetic process	12/23	251/18870	2.79994636885181e-17	1.20086588708533e-15	7.66301111475233e-16	6309/1595/4597/3157/6721/2224/6307/3638/3156/6713/3422/1717	12	SC5D/CYP51A1/MVD/HMGCS1/SREBF2/FDPS/MSMO1/INSIG1/HMGCR/SQLE/IDI1/DHCR7	GO:organic hydroxy compound biosynthetic process
BP	GO:0008202	steroid metabolic process	12/23	327/18870	6.83774285567766e-16	2.63936874229158e-14	1.68424402971429e-14	6309/1595/4597/3157/6721/2224/6307/3638/3156/6713/3422/1717	12	SC5D/CYP51A1/MVD/HMGCS1/SREBF2/FDPS/MSMO1/INSIG1/HMGCR/SQLE/IDI1/DHCR7	GO:steroid metabolic process
BP	GO:0006066	alcohol metabolic process	12/23	373/18870	3.31871971489702e-15	1.16456891813659e-13	7.43139151469764e-14	6309/1595/4597/3157/6721/2224/6307/3638/3156/6713/3422/1717	12	SC5D/CYP51A1/MVD/HMGCS1/SREBF2/FDPS/MSMO1/INSIG1/HMGCR/SQLE/IDI1/DHCR7	GO:alcohol metabolic process
BP	GO:0008299	isoprenoid biosynthetic process	5/23	29/18870	1.96735575109303e-10	6.32832766601591e-09	4.03825654171727e-09	4597/3157/2224/3156/3422	5	MVD/HMGCS1/FDPS/HMGCR/IDI1	GO:isoprenoid biosynthetic process
BP	GO:0006631	fatty acid metabolic process	8/23	401/18870	1.43868738017613e-08	4.27179483652298e-07	2.72593398349162e-07	9415/3992/39/80339/6307/3638/6319/2194	8	FADS2/FADS1/ACAT2/PNPLA3/MSMO1/INSIG1/SCD/FASN	GO:fatty acid metabolic process
BP	GO:0008654	phospholipid biosynthetic process	6/23	254/18870	4.67129194305289e-07	1.26120997660985e-05	8.04808111608142e-06	3992/4597/3157/80339/2224/3422	6	FADS1/MVD/HMGCS1/PNPLA3/FDPS/IDI1	GO:phospholipid biosynthetic process
